0.03 0.00 0.07 0.90 0.00
0.28 0.00 0.53 7.19 0.00
0.28 0.00 0.53 7.19 0.00
0.28 0.00 0.53 7.19 0.00
51.39 37.88 253.72 221.01 41.99
23.24 12.35 66.49 104.23 13.68
4.34 21.72 59.28 1.86 13.79
0.28 0.00 0.53 7.19 0.00
0.28 0.00 0.53 7.19 0.00
13.01 3.22 21.39 34.32 17.06
6.19 3.76 21.47 6.32 1.27
33.43 8.16 59.00 5.85 4.55
0.37 0.00 0.27 1.95 0.42
0.96 0.00 0.08 0.95 0.00
2.63 0.85 16.43 7.03 0.05
0.07 0.00 0.13 1.80 0.00
0.55 0.00 1.05 14.38 0.00
912.51 941.07 783.37 1816.38 888.66
191.34 13.82 58.09 27.71 7.05
0.08 0.00 1.42 2.50 0.00
1.88 3.68 10.42 1.01 0.01
1.06 0.00 0.28 3.65 0.01
0.07 0.00 0.13 1.80 0.00
202.55 123.01 68.98 98.79 236.66
0.07 0.00 0.13 1.80 0.00
0.28 0.00 0.53 7.19 0.00
737.96 50.00 304.60 185.90 185.55
0.07 0.00 0.13 1.80 0.00
0.03 0.00 0.07 0.90 0.00
0.38 0.00 0.72 9.89 0.00
16.02 0.00 1.21 2.70 0.07
0.57 10.21 0.42 1.80 0.00
0.28 0.00 0.53 7.19 0.00
25.77 62.96 68.84 26.83 22.60
0.03 0.00 0.07 0.90 0.00
14.82 19.65 5.29 37.73 25.51
0.03 0.00 0.07 0.90 0.00
0.38 0.00 0.72 9.89 0.00
0.90 0.04 0.17 0.90 0.00
0.14 0.00 0.26 3.60 0.00
144.00 102.49 602.22 10.06 404.23
0.96 0.00 0.08 0.95 0.00
19.20 68.06 27.87 28.94 19.93
0.88 12.14 1.76 3.25 0.97
207.94 50.63 599.30 248.84 56.29
0.07 0.00 0.13 1.80 0.00
1.75 0.00 7.98 0.95 0.31
0.03 0.00 0.07 0.90 0.00
0.28 0.00 0.53 7.19 0.00
0.28 0.00 0.53 7.19 0.00
20.12 50.64 123.75 3.55 35.94
0.07 0.00 0.13 1.80 0.00
44.44 3.66 12.42 13.60 18.88
139.19 159.62 132.28 28.90 121.01
13.47 17.12 13.07 22.90 9.43
0.04 0.00 0.79 1.17 0.00
65.27 31.88 257.61 225.67 34.56
28.65 4.48 73.62 2.65 4.60
2.17 188.33 32.89 31.15 39.46
0.00 12.48 0.00 2.50 0.00
1.49 153.79 17.08 33.13 31.51
105.39 193.37 44.22 441.01 64.01
1.81 162.69 17.28 40.16 32.07
0.00 12.48 0.00 2.50 0.00
33.33 17.80 0.51 250.65 7.72
6.10 28.52 3.17 2.56 0.66
0.25 23.77 5.98 6.65 7.36
470.88 114.35 162.64 1278.47 140.66
0.01 14.48 0.01 2.50 0.01
0.48 15.49 11.94 2.51 14.58
1.73 172.60 18.42 54.04 24.22
0.17 20.25 0.21 3.07 0.30
1.83 80.55 6.26 26.40 7.95
